Country ,Country Code,Medal1,Year of Year -,INDEX(),Distinct count of Event
South Korea,KOR,Bronze,2006,"2,406",2
South Korea,KOR,Bronze,2010,"2,649",2
South Korea,KOR,Bronze,2014,"2,897",2
South Korea,KOR,Gold,2002,"2,190",2
South Korea,KOR,Silver,1964,962,2
South Korea,KOR,Silver,2002,"2,191",2
Liechtenstein,LIE,Bronze,1976,"1,248",2
Liechtenstein,LIE,Bronze,1984,"1,437",2
Liechtenstein,LIE,Gold,1980,"1,342",2
Liechtenstein,LIE,Silver,1980,"1,343",2
Lithuania,LTU,Bronze,2012,"2,785",2
Lithuania,LTU,Gold,2000,"2,088",2
Lithuania,LTU,Gold,2012,"2,786",2
Lithuania,LTU,Silver,2004,"2,313",2
Lithuania,LTU,Silver,2008,"2,539",2
Luxembourg,LUX,Silver,1992,"1,671",2
Latvia,LVA,Bronze,2014,"2,900",2
Latvia,LVA,Silver,1992,"1,673",2
Latvia,LVA,Silver,2010,"2,652",2
Latvia,LVA,Silver,2014,"2,901",2
Morocco,MAR,Bronze,1988,"1,546",2
Morocco,MAR,Bronze,1996,"1,865",2
Morocco,MAR,Gold,1984,"1,438",2
Morocco,MAR,Gold,2004,"2,315",2
Moldova,MDA,Bronze,2012,"2,791",2
Mexico,MEX,Bronze,1948,613,2
Mexico,MEX,Bronze,1988,"1,548",2
Mexico,MEX,Bronze,2016,"3,037",2
Mexico,MEX,Gold,1948,614,2
Mexico,MEX,Gold,1984,"1,440",2
Mexico,MEX,Gold,2008,"2,547",2
Mexico,MEX,Silver,1932,474,2
Mexico,MEX,Silver,2000,"2,098",2
Mongolia,MNG,Bronze,1980,"1,346",2
Mongolia,MNG,Bronze,1992,"1,678",2
Mongolia,MNG,Gold,2008,"2,548",2
Mongolia,MNG,Silver,1980,"1,347",2
Mongolia,MNG,Silver,2008,"2,549",2
Mongolia,MNG,Silver,2012,"2,797",2
Namibia,NAM,Silver,1992,"1,680",2
Namibia,NAM,Silver,1996,"1,873",2
Nigeria,NGA,Bronze,2004,"2,320",2
Nigeria,NGA,Gold,1996,"1,875",2
Nigeria,NGA,Silver,2000,"2,101",2
Netherlands,NLD,Bronze,1906,132,2
Netherlands,NLD,Bronze,1908,174,2
Netherlands,NLD,Bronze,1998,"1,970",2
Netherlands,NLD,Gold,1932,476,2
Netherlands,NLD,Silver,1900,65,2
Netherlands,NLD,Silver,1920,271,2
Netherlands,NLD,Silver,1948,618,2
Netherlands,NLD,Silver,1960,876,2
Netherlands,NLD,Silver,1984,"1,446",2
Netherlands,NLD,Silver,2006,"2,412",2
Norway,NOR,Bronze,1968,"1,069",2
Norway,NOR,Bronze,1988,"1,553",2
Norway,NOR,Gold,1904,94,2
Norway,NOR,Gold,1908,176,2
Norway,NOR,Gold,1988,"1,554",2
Norway,NOR,Gold,1996,"1,881",2
Norway,NOR,Gold,2006,"2,414",2
Norway,NOR,Gold,2012,"2,804",2
Norway,NOR,Silver,1900,67,2
Norway,NOR,Silver,1996,"1,882",2
New Zealand,NZL,Bronze,1952,708,2
New Zealand,NZL,Bronze,1964,971,2
New Zealand,NZL,Bronze,1968,"1,072",2
New Zealand,NZL,Bronze,1984,"1,450",2
New Zealand,NZL,Gold,1956,798,2
New Zealand,NZL,Gold,1960,880,2
New Zealand,NZL,Gold,1976,"1,259",2
New Zealand,NZL,Silver,1988,"1,558",2
New Zealand,NZL,Silver,1996,"1,885",2
New Zealand,NZL,Silver,2004,"2,327",2
New Zealand,NZL,Silver,2008,"2,562",2
New Zealand,NZL,Silver,2012,"2,808",2
Panama,PAN,Bronze,1948,622,2
Poland,POL,Bronze,2010,"2,659",2
Poland,POL,Gold,1928,417,2
Poland,POL,Gold,1988,"1,563",2
Poland,POL,Gold,2012,"2,810",2
Poland,POL,Gold,2016,"3,054",2
Poland,POL,Silver,1932,485,2
Poland,POL,Silver,1952,712,2
Poland,POL,Silver,1968,"1,077",2
Poland,POL,Silver,2004,"2,330",2
Poland,POL,Silver,2012,"2,811",2
North Korea,PRK,Bronze,1980,"1,357",2
North Korea,PRK,Bronze,1996,"1,891",2
North Korea,PRK,Bronze,2012,"2,814",2
North Korea,PRK,Bronze,2016,"3,057",2
North Korea,PRK,Gold,1996,"1,892",2
North Korea,PRK,Gold,2008,"2,568",2
North Korea,PRK,Gold,2016,"3,058",2
Portugal,PRT,Bronze,1984,"1,457",2
Portugal,PRT,Bronze,2000,"2,115",2
Portugal,PRT,Silver,1976,"1,268",2
Portugal,PRT,Silver,2004,"2,334",2
Qatar,QAT,Bronze,2012,"2,817",2
Romania,ROU,Bronze,1952,714,2
Romania,ROU,Bronze,2012,"2,818",2
Romania,ROU,Bronze,2016,"3,062",2
Romania,ROU,Gold,1964,980,2
Romania,ROU,Gold,2012,"2,819",2
Russia,RUS,Silver,1908,179,2
Russia,RUS,Silver,1912,227,2
Singapore,SGP,Bronze,2012,"2,825",2
Serbia,SRB,Bronze,1964,985,2
Serbia,SRB,Bronze,1968,"1,084",2
Serbia,SRB,Bronze,1972,"1,183",2
Serbia,SRB,Bronze,1996,"1,902",2
Serbia,SRB,Bronze,2008,"2,580",2
Serbia,SRB,Bronze,2012,"2,826",2
Serbia,SRB,Bronze,2016,"3,069",2
Serbia,SRB,Gold,1924,345,2
Serbia,SRB,Gold,1964,986,2
Serbia,SRB,Gold,1972,"1,184",2
Serbia,SRB,Gold,1976,"1,276",2
Serbia,SRB,Gold,1980,"1,366",2
Serbia,SRB,Gold,2016,"3,070",2
Serbia,SRB,Silver,1948,629,2
Serbia,SRB,Silver,1952,721,2
Serbia,SRB,Silver,2004,"2,342",2
Slovakia,SVK,Bronze,2004,"2,343",2
Slovakia,SVK,Gold,2004,"2,344",2
Slovakia,SVK,Gold,2016,"3,072",2
Slovakia,SVK,Silver,2004,"2,345",2
Slovakia,SVK,Silver,2008,"2,584",2
Slovakia,SVK,Silver,2016,"3,073",2
Slovenia,SVN,Bronze,1992,"1,709",2
Slovenia,SVN,Bronze,2008,"2,585",2
Slovenia,SVN,Bronze,2012,"2,831",2
Slovenia,SVN,Gold,2000,"2,131",2
Slovenia,SVN,Gold,2014,"2,916",2
Slovenia,SVN,Silver,1996,"1,908",2
Slovenia,SVN,Silver,2008,"2,587",2
Slovenia,SVN,Silver,2010,"2,669",2
Slovenia,SVN,Silver,2014,"2,917",2
Slovenia,SVN,Silver,2016,"3,076",2
Sweden,SWE,Bronze,1976,"1,278",2
Sweden,SWE,Bronze,1996,"1,909",2
Sweden,SWE,Gold,1906,137,2
Sweden,SWE,Gold,1992,"1,711",2
Sweden,SWE,Gold,1994,"1,759",2
Sweden,SWE,Gold,1996,"1,910",2
Sweden,SWE,Gold,2014,"2,919",2
Sweden,SWE,Gold,2016,"3,078",2
Sweden,SWE,Silver,1998,"1,980",2
Sweden,SWE,Silver,2002,"2,204",2
Sweden,SWE,Silver,2004,"2,350",2
Sweden,SWE,Silver,2006,"2,424",2
Sweden,SWE,Silver,2010,"2,672",2
Thailand,THA,Bronze,2000,"2,135",2
Thailand,THA,Bronze,2016,"3,080",2
Thailand,THA,Gold,2008,"2,591",2
Thailand,THA,Gold,2016,"3,081",2
Thailand,THA,Silver,2008,"2,592",2
Thailand,THA,Silver,2012,"2,838",2
Thailand,THA,Silver,2016,"3,082",2
Trinidad,TTO,Bronze,1952,725,2
Trinidad,TTO,Bronze,1960,901,2
Trinidad,TTO,Bronze,1964,991,2
Trinidad,TTO,Bronze,1996,"1,916",2
Trinidad,TTO,Bronze,2012,"2,840",2
Turkey,TUR,Bronze,1948,634,2
Turkey,TUR,Bronze,1956,813,2
Turkey,TUR,Bronze,1992,"1,714",2
Turkey,TUR,Bronze,2000,"2,139",2
Turkey,TUR,Gold,1952,727,2
Turkey,TUR,Gold,1964,996,2
Turkey,TUR,Gold,1968,"1,092",2
Turkey,TUR,Gold,1992,"1,715",2
Turkey,TUR,Gold,2012,"2,847",2
Turkey,TUR,Silver,1956,815,2
Turkey,TUR,Silver,1960,903,2
Turkey,TUR,Silver,1992,"1,716",2
Turkey,TUR,Silver,2012,"2,848",2
Tanzania,TZA,Silver,1980,"1,371",2
Ukraine,UKR,Bronze,2006,"2,425",2
Ukraine,UKR,Gold,2016,"3,090",2
Ukraine,UKR,Silver,1996,"1,924",2
Uruguay,URY,Bronze,1952,728,2
USA,USA,Bronze,1896,24,2
USA,USA,Bronze,1980,"1,373",2
USA,USA,Bronze,1994,"1,763",2
Uzbekistan,UZB,Bronze,2000,"2,148",2
Uzbekistan,UZB,Bronze,2004,"2,365",2
Uzbekistan,UZB,Bronze,2012,"2,856",2
Uzbekistan,UZB,Gold,2004,"2,366",2
Uzbekistan,UZB,Silver,2008,"2,609",2
Uzbekistan,UZB,Silver,2016,"3,097",2
Venezuela,VEN,Bronze,2004,"2,368",2
Venezuela,VEN,Bronze,2016,"3,098",2
South Africa,ZAF,Bronze,1928,430,2
South Africa,ZAF,Bronze,1948,642,2
South Africa,ZAF,Bronze,1960,908,2
South Africa,ZAF,Bronze,2004,"2,369",2
South Africa,ZAF,Bronze,2016,"3,103",2
South Africa,ZAF,Gold,1932,494,2
South Africa,ZAF,Gold,1948,643,2
South Africa,ZAF,Gold,1952,734,2
South Africa,ZAF,Gold,2016,"3,104",2
South Africa,ZAF,Silver,1912,235,2
South Africa,ZAF,Silver,1948,644,2
South Africa,ZAF,Silver,1992,"1,720",2
South Africa,ZAF,Silver,2000,"2,153",2
South Africa,ZAF,Silver,2012,"2,861",2
Argentina,ARG,Bronze,1936,495,3
Argentina,ARG,Gold,1928,357,3
Argentina,ARG,Gold,1932,432,3
Argentina,ARG,Gold,1948,565,3
Argentina,ARG,Gold,2016,"2,927",3
Argentina,ARG,Silver,1924,287,3
Argentina,ARG,Silver,1928,358,3
Argentina,ARG,Silver,1948,566,3
Armenia,ARM,Silver,2016,"2,930",3
Australia,AUS,Bronze,1900,27,3
Australia,AUS,Bronze,1906,98,3
Australia,AUS,Bronze,1912,188,3
Australia,AUS,Bronze,1952,648,3
Australia,AUS,Gold,1900,28,3
Australia,AUS,Gold,1932,435,3
Australia,AUS,Gold,1988,"1,482",3
Australia,AUS,Silver,1904,75,3
Austria,AUT,Bronze,1900,29,3
Austria,AUT,Bronze,1906,99,3
Austria,AUT,Bronze,1932,437,3
Austria,AUT,Bronze,1952,651,3
Austria,AUT,Bronze,1960,826,3
Austria,AUT,Bronze,1964,914,3
Austria,AUT,Bronze,1976,"1,198",3
Austria,AUT,Bronze,1980,"1,290",3
Austria,AUT,Gold,1906,100,3
Austria,AUT,Gold,1928,363,3
Austria,AUT,Gold,1948,571,3
Austria,AUT,Gold,1968,"1,007",3
Austria,AUT,Gold,1998,"1,936",3
Austria,AUT,Gold,2002,"2,156",3
Austria,AUT,Silver,1900,30,3
Austria,AUT,Silver,1906,101,3
Austria,AUT,Silver,1928,364,3
Austria,AUT,Silver,1956,743,3
Austria,AUT,Silver,1960,828,3
Austria,AUT,Silver,1972,"1,105",3
Austria,AUT,Silver,1994,"1,724",3
Belgium,BEL,Bronze,1906,102,3
Belgium,BEL,Bronze,1912,193,3
Belgium,BEL,Bronze,1928,365,3
Belgium,BEL,Bronze,1936,502,3
Belgium,BEL,Bronze,1948,573,3
Belgium,BEL,Bronze,1976,"1,201",3
Belgium,BEL,Bronze,2000,"1,995",3
Belgium,BEL,Gold,1924,295,3
Belgium,BEL,Gold,1948,574,3
Belgium,BEL,Silver,1948,575,3
Belgium,BEL,Silver,1976,"1,202",3
Bulgaria,BGR,Bronze,1960,831,3
Bulgaria,BGR,Bronze,1968,"1,011",3
Bulgaria,BGR,Bronze,2008,"2,443",3
Bulgaria,BGR,Gold,1964,920,3
Bulgaria,BGR,Gold,1992,"1,597",3
Bulgaria,BGR,Gold,1996,"1,782",3
Bulgaria,BGR,Silver,1956,747,3
Bulgaria,BGR,Silver,1960,833,3
Belarus,BLR,Gold,2000,"2,003",3
Belarus,BLR,Silver,2000,"2,004",3
Brazil,BRA,Bronze,1988,"1,491",3
Brazil,BRA,Bronze,2004,"2,229",3
Brazil,BRA,Gold,1996,"1,789",3
Brazil,BRA,Gold,2008,"2,452",3
Brazil,BRA,Gold,2012,"2,698",3
Brazil,BRA,Silver,1996,"1,790",3
Canada,CAN,Bronze,1912,196,3
Canada,CAN,Bronze,1920,244,3
Canada,CAN,Bronze,1948,577,3
Canada,CAN,Bronze,1972,"1,111",3
Canada,CAN,Bronze,2004,"2,232",3
Canada,CAN,Gold,1908,150,3
Canada,CAN,Gold,1912,197,3
Canada,CAN,Gold,1920,245,3
Canada,CAN,Gold,1932,442,3
Canada,CAN,Gold,1988,"1,495",3
Canada,CAN,Gold,1994,"1,727",3
Canada,CAN,Gold,1996,"1,792",3
Canada,CAN,Gold,2000,"2,009",3
Canada,CAN,Gold,2004,"2,233",3
Canada,CAN,Gold,2008,"2,455",3
Canada,CAN,Silver,1908,151,3
Canada,CAN,Silver,1920,246,3
Canada,CAN,Silver,1924,299,3
Canada,CAN,Silver,1964,926,3
Canada,CAN,Silver,1972,"1,112",3
Canada,CAN,Silver,2000,"2,010",3
Canada,CAN,Silver,2002,"2,163",3
Canada,CAN,Silver,2016,"2,956",3
China,CHN,Gold,2014,"2,873",3
Colombia,COL,Bronze,2016,"2,960",3
Colombia,COL,Gold,2016,"2,961",3
Colombia,COL,Silver,2012,"2,709",3
Cuba,CUB,Bronze,1976,"1,211",3
Cuba,CUB,Gold,1972,"1,116",3
Cuba,CUB,Silver,2012,"2,712",3
Czech Republic,CZE,Bronze,1928,371,3
Czech Republic,CZE,Bronze,1948,581,3
Czech Republic,CZE,Bronze,1952,663,3
Czech Republic,CZE,Bronze,1960,838,3
Czech Republic,CZE,Bronze,2000,"2,021",3
Czech Republic,CZE,Bronze,2012,"2,714",3
Czech Republic,CZE,Gold,1936,507,3
Czech Republic,CZE,Gold,1960,839,3
Czech Republic,CZE,Gold,1972,"1,119",3
Czech Republic,CZE,Gold,1988,"1,505",3
Czech Republic,CZE,Gold,2008,"2,467",3
Czech Republic,CZE,Silver,1932,446,3
Czech Republic,CZE,Silver,1948,583,3
Czech Republic,CZE,Silver,1952,665,3
Czech Republic,CZE,Silver,1960,840,3
Czech Republic,CZE,Silver,1976,"1,216",3
Czech Republic,CZE,Silver,1980,"1,306",3
Czech Republic,CZE,Silver,1996,"1,803",3
Czech Republic,CZE,Silver,2000,"2,023",3
Czech Republic,CZE,Silver,2004,"2,247",3
Czech Republic,CZE,Silver,2008,"2,468",3
Czech Republic,CZE,Silver,2012,"2,716",3
Germany,DEU,Gold,1908,154,3
Germany,DEU,Gold,1952,667,3
Germany,DEU,Silver,1900,43,3
Denmark,DNK,Bronze,1896,9,3
Denmark,DNK,Bronze,1908,156,3
Denmark,DNK,Bronze,1924,303,3
Denmark,DNK,Bronze,1932,450,3
Denmark,DNK,Bronze,1936,512,3
Denmark,DNK,Bronze,1952,669,3
Denmark,DNK,Bronze,1964,934,3
Denmark,DNK,Bronze,1968,"1,027",3
Denmark,DNK,Bronze,1984,"1,403",3
Denmark,DNK,Bronze,2008,"2,472",3
Denmark,DNK,Bronze,2012,"2,720",3
Denmark,DNK,Gold,1906,112,3
Denmark,DNK,Gold,1920,249,3
Denmark,DNK,Gold,1928,378,3
Denmark,DNK,Silver,1900,46,3
Denmark,DNK,Silver,1960,846,3
Denmark,DNK,Silver,1984,"1,404",3
Denmark,DNK,Silver,2000,"2,029",3
Algeria,DZA,Bronze,2000,"2,030",3
Egypt,EGY,Bronze,2004,"2,255",3
Egypt,EGY,Bronze,2016,"2,977",3
Spain,ESP,Bronze,1992,"1,623",3
Spain,ESP,Bronze,2008,"2,481",3
Spain,ESP,Gold,2000,"2,034",3
Spain,ESP,Gold,2004,"2,260",3
Spain,ESP,Gold,2012,"2,728",3
Spain,ESP,Silver,1980,"1,315",3
Spain,ESP,Silver,2000,"2,035",3
Estonia,EST,Bronze,1936,517,3
Estonia,EST,Gold,2006,"2,394",3
Ethiopia,ETH,Bronze,2000,"2,038",3
Ethiopia,ETH,Bronze,2012,"2,732",3
Ethiopia,ETH,Gold,2012,"2,733",3
Ethiopia,ETH,Silver,2004,"2,266",3
Finland,FIN,Bronze,1908,158,3
Finland,FIN,Bronze,1968,"1,032",3
Finland,FIN,Bronze,2006,"2,395",3
Finland,FIN,Gold,1960,850,3
Finland,FIN,Gold,1972,"1,129",3
Finland,FIN,Silver,1992,"1,632",3
Finland,FIN,Silver,2014,"2,883",3
France,FRA,Bronze,1912,208,3
France,FRA,Gold,2006,"2,398",3
France,FRA,Silver,1976,"1,228",3
France,FRA,Silver,2010,"2,639",3
UK,GBR,Bronze,1896,15,3
UK,GBR,Bronze,1968,"1,038",3
UK,GBR,Gold,1896,16,3
UK,GBR,Silver,1896,17,3
UK,GBR,Silver,1992,"1,638",3
Georgia,GEO,Bronze,2008,"2,498",3
Georgia,GEO,Bronze,2012,"2,744",3
Georgia,GEO,Gold,2008,"2,499",3
Georgia,GEO,Silver,2012,"2,746",3
Greece,GRC,Bronze,2000,"2,051",3
Greece,GRC,Gold,2016,"2,997",3
Greece,GRC,Silver,1908,168,3
Croatia,HRV,Bronze,2008,"2,502",3
Croatia,HRV,Gold,2002,"2,183",3
Croatia,HRV,Gold,2012,"2,751",3
Croatia,HRV,Silver,2016,"3,002",3
Hungary,HUN,Bronze,1896,21,3
Hungary,HUN,Bronze,1906,126,3
Hungary,HUN,Bronze,1912,216,3
Hungary,HUN,Bronze,2000,"2,056",3
Hungary,HUN,Bronze,2004,"2,282",3
Hungary,HUN,Gold,1908,170,3
Hungary,HUN,Gold,1912,217,3
Hungary,HUN,Gold,2008,"2,505",3
Hungary,HUN,Silver,2016,"3,005",3
Indonesia,IDN,Bronze,2008,"2,507",3
Indonesia,IDN,Silver,2000,"2,061",3
Ireland,IRL,Bronze,1956,778,3
Ireland,IRL,Bronze,2012,"2,760",3
Ireland,IRL,Gold,1996,"1,840",3
Iran,IRN,Bronze,1960,864,3
Iran,IRN,Bronze,2012,"2,763",3
Iran,IRN,Gold,2000,"2,065",3
Iran,IRN,Gold,2016,"3,012",3
Iran,IRN,Silver,1952,690,3
Italy,ITA,Bronze,1906,129,3
Italy,ITA,Bronze,2010,"2,643",3
Italy,ITA,Gold,1900,59,3
Italy,ITA,Gold,1976,"1,238",3
Italy,ITA,Silver,1924,328,3
Jamaica,JAM,Bronze,1980,"1,339",3
Jamaica,JAM,Bronze,2000,"2,071",3
Jamaica,JAM,Silver,1952,695,3
Jamaica,JAM,Silver,1992,"1,659",3
Jamaica,JAM,Silver,1996,"1,850",3
Jamaica,JAM,Silver,2016,"3,020",3
Japan,JPN,Bronze,1956,788,3
Japan,JPN,Bronze,2014,"2,893",3
Japan,JPN,Gold,1996,"1,852",3
Japan,JPN,Silver,1988,"1,538",3
Japan,JPN,Silver,2010,"2,647",3
Kazakhstan,KAZ,Bronze,2004,"2,303",3
Kazakhstan,KAZ,Gold,1996,"1,855",3
Kazakhstan,KAZ,Gold,2000,"2,076",3
Kazakhstan,KAZ,Gold,2016,"3,026",3
Kenya,KEN,Bronze,1996,"1,857",3
Kenya,KEN,Gold,1968,"1,057",3
Kenya,KEN,Silver,1972,"1,154",3
Kenya,KEN,Silver,2000,"2,080",3
South Korea,KOR,Gold,1998,"1,968",3
South Korea,KOR,Gold,2014,"2,898",3
South Korea,KOR,Silver,2006,"2,408",3
South Korea,KOR,Silver,2014,"2,899",3
South Korea,KOR,Silver,2016,"3,033",3
Lithuania,LTU,Bronze,2000,"2,087",3
Lithuania,LTU,Bronze,2008,"2,538",3
Lithuania,LTU,Bronze,2016,"3,034",3
Mexico,MEX,Bronze,1936,541,3
Mexico,MEX,Bronze,1968,"1,061",3
Mexico,MEX,Bronze,1980,"1,344",3
Mexico,MEX,Bronze,2000,"2,096",3
Mexico,MEX,Bronze,2012,"2,792",3
Mexico,MEX,Gold,1968,"1,062",3
Mexico,MEX,Silver,1968,"1,063",3
Mexico,MEX,Silver,1984,"1,441",3
Mexico,MEX,Silver,2004,"2,318",3
Mexico,MEX,Silver,2012,"2,794",3
Mexico,MEX,Silver,2016,"3,038",3
Mongolia,MNG,Bronze,1968,"1,064",3
Mongolia,MNG,Bronze,2012,"2,796",3
Nigeria,NGA,Bronze,1996,"1,874",3
Nigeria,NGA,Bronze,2008,"2,552",3
Nigeria,NGA,Silver,1992,"1,682",3
Netherlands,NLD,Bronze,1912,222,3
Netherlands,NLD,Bronze,1960,875,3
Netherlands,NLD,Bronze,1972,"1,161",3
Netherlands,NLD,Bronze,1980,"1,348",3
Netherlands,NLD,Bronze,1994,"1,750",3
Netherlands,NLD,Bronze,2010,"2,653",3
Netherlands,NLD,Gold,1964,966,3
Netherlands,NLD,Gold,1992,"1,684",3
Netherlands,NLD,Gold,2002,"2,192",3
Netherlands,NLD,Gold,2006,"2,411",3
Netherlands,NLD,Silver,1980,"1,350",3
Norway,NOR,Bronze,1900,66,3
Norway,NOR,Bronze,1908,175,3
Norway,NOR,Bronze,1932,478,3
Norway,NOR,Bronze,1956,795,3
Norway,NOR,Bronze,1996,"1,880",3
Norway,NOR,Bronze,2000,"2,105",3
Norway,NOR,Gold,1932,479,3
Norway,NOR,Gold,1956,796,3
Norway,NOR,Gold,1964,969,3
Norway,NOR,Gold,1984,"1,448",3
Norway,NOR,Gold,2008,"2,558",3
Norway,NOR,Silver,1908,177,3
Norway,NOR,Silver,1960,878,3
Norway,NOR,Silver,1980,"1,353",3
Norway,NOR,Silver,1984,"1,449",3
Norway,NOR,Silver,2000,"2,107",3
New Zealand,NZL,Bronze,2000,"2,108",3
New Zealand,NZL,Gold,1964,972,3
New Zealand,NZL,Gold,1988,"1,557",3
New Zealand,NZL,Gold,1996,"1,884",3
New Zealand,NZL,Gold,2004,"2,326",3
New Zealand,NZL,Gold,2008,"2,561",3
Philippines,PHL,Bronze,1932,482,3
Poland,POL,Bronze,2000,"2,110",3
Poland,POL,Gold,1932,484,3
Poland,POL,Gold,1980,"1,355",3
Poland,POL,Gold,1992,"1,696",3
Poland,POL,Gold,2004,"2,329",3
Poland,POL,Gold,2008,"2,565",3
Poland,POL,Silver,2010,"2,661",3
Poland,POL,Silver,2016,"3,055",3
North Korea,PRK,Bronze,1972,"1,174",3
North Korea,PRK,Bronze,2000,"2,113",3
North Korea,PRK,Bronze,2008,"2,567",3
North Korea,PRK,Silver,1980,"1,358",3
North Korea,PRK,Silver,2016,"3,059",3
Romania,ROU,Bronze,2008,"2,572",3
Romania,ROU,Gold,1960,888,3
Romania,ROU,Gold,1972,"1,178",3
Romania,ROU,Silver,1956,805,3
Russia,RUS,Bronze,1912,226,3
Russia,RUS,Bronze,1998,"1,976",3
Russia,RUS,Gold,2010,"2,663",3
Serbia,SRB,Bronze,1928,420,3
Serbia,SRB,Bronze,1976,"1,275",3
Serbia,SRB,Gold,1968,"1,085",3
Serbia,SRB,Gold,1988,"1,574",3
Serbia,SRB,Silver,1956,809,3
Serbia,SRB,Silver,1968,"1,086",3
Serbia,SRB,Silver,1976,"1,277",3
Serbia,SRB,Silver,1980,"1,367",3
Slovakia,SVK,Bronze,2012,"2,829",3
Slovakia,SVK,Gold,2008,"2,583",3
Slovakia,SVK,Silver,2000,"2,130",3
Slovenia,SVN,Bronze,1994,"1,758",3
Slovenia,SVN,Bronze,2004,"2,346",3
Sweden,SWE,Bronze,2000,"2,132",3
Sweden,SWE,Bronze,2012,"2,834",3
Sweden,SWE,Bronze,2016,"3,077",3
Sweden,SWE,Silver,1968,"1,089",3
Sweden,SWE,Silver,1980,"1,370",3
Thailand,THA,Gold,2004,"2,353",3
Tunisia,TUN,Bronze,2016,"3,085",3
Turkey,TUR,Bronze,1984,"1,473",3
Turkey,TUR,Bronze,2008,"2,598",3
Turkey,TUR,Gold,1956,814,3
Turkey,TUR,Gold,2000,"2,140",3
Turkey,TUR,Gold,2004,"2,357",3
Turkey,TUR,Silver,1964,997,3
Turkey,TUR,Silver,2004,"2,358",3
Turkey,TUR,Silver,2008,"2,600",3
Turkey,TUR,Silver,2016,"3,088",3
Ukraine,UKR,Gold,2000,"2,142",3
USA,USA,Silver,1998,"1,984",3
Uzbekistan,UZB,Bronze,2008,"2,607",3
Venezuela,VEN,Bronze,1984,"1,477",3
South Africa,ZAF,Bronze,1920,282,3
South Africa,ZAF,Bronze,1932,493,3
South Africa,ZAF,Bronze,2000,"2,152",3
South Africa,ZAF,Gold,1920,283,3
South Africa,ZAF,Gold,1996,"1,931",3
South Africa,ZAF,Gold,2012,"2,860",3
South Africa,ZAF,Silver,2004,"2,371",3
Zimbabwe,ZWE,Silver,2008,"2,614",3
Argentina,ARG,Bronze,2004,"2,209",4
Argentina,ARG,Bronze,2008,"2,430",4
Australia,AUS,Bronze,1976,"1,196",4
Australia,AUS,Gold,1924,289,4
Australia,AUS,Gold,1984,"1,379",4
Austria,AUT,Bronze,1972,"1,103",4
Austria,AUT,Bronze,1994,"1,722",4
Austria,AUT,Gold,1956,742,4
Austria,AUT,Gold,1964,915,4
Austria,AUT,Gold,1980,"1,291",4
Austria,AUT,Gold,1988,"1,485",4
Austria,AUT,Gold,2010,"2,618",4
Austria,AUT,Gold,2014,"2,865",4
Austria,AUT,Silver,1924,293,4
Austria,AUT,Silver,1980,"1,292",4
Austria,AUT,Silver,2002,"2,157",4
Austria,AUT,Silver,2004,"2,216",4
Azerbaijan,AZE,Bronze,2004,"2,217",4
Azerbaijan,AZE,Bronze,2008,"2,438",4
Belgium,BEL,Bronze,1924,294,4
Bulgaria,BGR,Silver,1968,"1,013",4
Belarus,BLR,Bronze,2016,"2,948",4
Belarus,BLR,Gold,2008,"2,449",4
Belarus,BLR,Silver,2016,"2,950",4
Brazil,BRA,Silver,2008,"2,453",4
Canada,CAN,Bronze,1994,"1,726",4
Canada,CAN,Bronze,1998,"1,941",4
Canada,CAN,Gold,1904,80,4
Canada,CAN,Gold,2016,"2,955",4
Canada,CAN,Silver,1928,369,4
Canada,CAN,Silver,1936,505,4
Canada,CAN,Silver,1968,"1,018",4
Canada,CAN,Silver,1988,"1,496",4
China,CHN,Bronze,2002,"2,164",4
China,CHN,Bronze,2010,"2,626",4
China,CHN,Silver,2006,"2,387",4
China,CHN,Silver,2014,"2,874",4
Colombia,COL,Bronze,2012,"2,707",4
Cuba,CUB,Bronze,1972,"1,115",4
Cuba,CUB,Bronze,2016,"2,963",4
Cuba,CUB,Gold,1904,82,4
Cuba,CUB,Silver,1968,"1,020",4
Cuba,CUB,Silver,1976,"1,213",4
Czech Republic,CZE,Bronze,1964,928,4
Czech Republic,CZE,Bronze,1972,"1,118",4
Czech Republic,CZE,Bronze,1976,"1,214",4
Czech Republic,CZE,Bronze,1984,"1,398",4
Czech Republic,CZE,Bronze,1988,"1,504",4
Czech Republic,CZE,Bronze,1992,"1,612",4
Czech Republic,CZE,Bronze,1996,"1,801",4
Czech Republic,CZE,Bronze,2010,"2,629",4
Czech Republic,CZE,Gold,1992,"1,613",4
Czech Republic,CZE,Gold,1996,"1,802",4
Czech Republic,CZE,Gold,2012,"2,715",4
Czech Republic,CZE,Silver,1924,302,4
Czech Republic,CZE,Silver,1956,757,4
Czech Republic,CZE,Silver,1968,"1,023",4
Czech Republic,CZE,Silver,1972,"1,120",4
Czech Republic,CZE,Silver,1988,"1,506",4
Czech Republic,CZE,Silver,2014,"2,877",4
Germany,DEU,Bronze,1906,108,4
Germany,DEU,Gold,1900,42,4
Germany,DEU,Gold,1904,84,4
Germany,DEU,Gold,1906,109,4
Denmark,DNK,Bronze,1928,377,4
Denmark,DNK,Bronze,1992,"1,618",4
Denmark,DNK,Gold,1996,"1,808",4
Denmark,DNK,Silver,1968,"1,029",4
Denmark,DNK,Silver,2012,"2,722",4
Spain,ESP,Bronze,2012,"2,727",4
